error,tidy_url
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2912 milliseconds with 5149 out of 6389 bytes received
",http://ls.atu.ac.ir/
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://ojs.uv.es/index.php/attic/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2303 milliseconds with 0 bytes received
",http://efdergi.ibu.edu.tr
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Connection timed out after 3000 milliseconds
",http://sbedergi.ibu.edu.tr/index.php/sbedergi
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1461 milliseconds with 0 bytes received
",http://journal.unnes.ac.id/sju/index.php/aaj
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://revistas.urosario.edu.co/index.php/acdi
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/acro
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://ojs.aas.bf.uni-lj.si/index.php/aas/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",https://journals.viamedica.pl/acta_angiologica
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://ojs.unimal.ac.id/index.php/acta-aquatica
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/abcsb
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://journal.asu.ru/index.php/biol
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 532 milliseconds with 0 bytes received
",http://actabiomedica.ru/en/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1875 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/botcro
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2203 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/achi
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1808 milliseconds with 0 bytes received
",https://www.degruyter.com/view/j/aet
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",https://www.actaelectronicamalaysia.com/
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/afepuc
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/afmnai
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/afpuc
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/ahbb
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",https://www.zibelinepub.com/index.php/acta-informatica-malaysia-aim/
"Error in curl::curl_fetch_memory(url, handle = handle): Empty reply from server
",http://www.actalogistica.eu
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/ama
"Error in curl::curl_fetch_memory(url, handle = handle): Empty reply from server
",http://actamechatronica.eu
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/amb
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2083 milliseconds with 16524 bytes received
",http://acta.tums.ac.ir/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1866 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/amma
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/acm
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Connection timed out after 3128 milliseconds
",http://www.medfak.ni.ac.rs/amm
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1861 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/cszma
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://dergipark.ulakbim.gov.tr/gaziaot/index
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/acpa
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2206 milliseconds with 9508 bytes received
",http://www.degruyter.com/view/j/apd
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2262 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/acph
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1496 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/aree
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",https://www.zibelinepub.com/index.php/acta-scientifica-malaysia-asm/archives/
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/asn
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2157 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/aslh
"Error in curl::curl_fetch_memory(url, handle = handle): Empty reply from server
",http://actasimulatio.eu
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1897 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/ata
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/atd
"Error in curl::curl_fetch_memory(url, handle = handle): Empty reply from server
",http://actatecnologia.eu
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/aucft
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",https://wydawnictwo.uni.lodz.pl/redakcje-czasopism/acta-universitatis-lodziensis-folia-iuridica/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",https://wydawnictwo.uni.lodz.pl/redakcje-czasopism/acta-universitatis-lodziensis-folia-litteraria-polonica/
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/ausae
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/ausal
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/auseb
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2498 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/acve
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Connection timed out after 3000 milliseconds
",http://periodicos.ufersa.edu.br/revistas/index.php/acta/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Resolving timed out after 3000 milliseconds
",http://journal.ipb.ac.id/index.php/actavetindones/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Resolving timed out after 3000 milliseconds
",http://revistas.upel.edu.ve/index.php/actividadfisicayciencias/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://www.actualidadjuridicaambiental.com
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",https://adhi.univie.ac.at
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/admin
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 0 milliseconds with 0 out of 0 bytes received
",https://apb.tbzmed.ac.ir/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3001 milliseconds with 38873 bytes received
",https://onlinelibrary.wiley.com/journal/21983844
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2379 milliseconds with 2053 out of 7503 bytes received
",http://aet.irost.ir
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://www.advmodoncolres.com/index.php/amor
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2470 milliseconds with 0 bytes received
",http://iopscience.iop.org/2043-6262/
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://pagepressjournals.org/index.php/aiol/index
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/rehab
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://ojs.imeti.org/index.php/aiti/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 922 milliseconds with 0 bytes received
",http://aerospace.elpub.ru
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://aerapa.conference.ubbcluj.ro/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2034 milliseconds with 3629 out of 6877 bytes received
",http://rjqk.atu.ac.ir/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 293 milliseconds with 0 bytes received
",http://www.apsdpr.org
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://www.ajhpe.org.za/index.php/ajhpe/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3001 milliseconds with 0 bytes received
",http://ejournal.uksw.edu/agric
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/agri
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: certificate has expired
",https://savana-cendana.id/index.php/ag
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 506 milliseconds with 0 bytes received
",http://jurnalagrin.net/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Resolving timed out after 3000 milliseconds
",http://agrise.ub.ac.id
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1396 milliseconds with 0 bytes received
",http://jurnal.ugm.ac.id/agritech/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Connection timed out after 3000 milliseconds
",http://agrivita.ub.ac.id/index.php/agrivita
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: certificate has expired
",http://www.ufrr.br/revista/index.php/agroambiente
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://ojs.unud.ac.id/index.php/agrotrop
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",https://journal.unesa.ac.id/index.php/aj
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3001 milliseconds with 0 bytes received
",http://neurologia.com.pl/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3001 milliseconds with 0 bytes received
",http://apel.ieml.ru/about?lang=eng
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1911 milliseconds with 3356 bytes received
",http://fe.ummetro.ac.id/ejournal/index.php/ja/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3001 milliseconds with 3539 bytes received
",http://syekhnurjati.ac.id/jurnal/index.php/ibtida
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2928 milliseconds with 0 bytes received
",http://jurnal.uin-antasari.ac.id/index.php/al-banjari/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3001 milliseconds with 0 bytes received
",http://erevistas.saber.ula.ve/index.php/aldeamundo/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 50030 bytes received
",http://www.alexjvs.com/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Resolving timed out after 3000 milliseconds
",http://jurnal.stituwjombang.ac.id/index.php/al-idaroh/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 25615 bytes received
",http://journal.uinjkt.ac.id/index.php/iqtishad
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://journal.staihubbulwathan.id/index.php/alishlah/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://ejournal.radenintan.ac.id/index.php/al-jabar
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3001 milliseconds with 132476 bytes received
",http://journal.uinjkt.ac.id/index.php/kauniyah/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2170 milliseconds with 0 bytes received
",http://www.almclinmed.ru
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3001 milliseconds with 0 bytes received
",http://journal.tarbiyahiainib.ac.id/index.php/attalim
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",https://journal.unesa.ac.id/index.php/jie/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 935 milliseconds with 0 bytes received
",http://www.faar.edu.br/portal/revistas/ojs/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Resolving timed out after 3000 milliseconds
",http://www.ivyunion.org/index.php/ajccr
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://www.asjournal.org/
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/abcsj
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 700 milliseconds with 0 bytes received
",http://ijocta.balikesir.edu.tr
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://ejournal.staimadiun.ac.id/index.php/annuha
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",http://www.degruyter.com/view/j/aicue
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1900 milliseconds with 0 bytes received
",http://www.degruyter.com/view/j/auoc
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1196 milliseconds with 0 bytes received
",http://www.fefsoradea.ro/fascicula_educatie_fizica_si_sport/index.html
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://www.anfamed.edu.uy/index.php/rev
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 1175 milliseconds with 0 bytes received
",http://blasemarang.kemenag.go.id/journal/index.php/analisa/index
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://ojs.uma.ac.id/index.php/analitika
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",http://www.analchemres.org
"Error in curl::curl_fetch_memory(url, handle = handle): SSL certificate problem: unable to get local issuer certificate
",https://www.degruyter.com/view/j/amsil
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Resolving timed out after 3000 milliseconds
",http://aos.ro/editura/analeleaosr/annals-on-philosophy/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2862 milliseconds with 0 bytes received
",http://onlinelibrary.wiley.com/journal/10.1002/(issn)2475-0328
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2233 milliseconds with 0 bytes received
",http://www.annalsofgeophysics.eu/index.php/annals
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 0 bytes received
",https://www.annalsofglobalhealth.org/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 3000 milliseconds with 48334 bytes received
",https://www.e-arm.org/
"Error in curl::curl_fetch_memory(url, handle = handle): Timeout was reached: Operation timed out after 2524 milliseconds with 0 bytes received
",http://annresantioxidants.com
